,strategy,period,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days
0,static_initial_50pct,전체기간,0.5758513151,-0.82598579,0.6275716638,1.040714939,1.54131778,0.4195134062,1.37266487,0.6971685496,0.9253045987,0.07469540125,1,0.04623448154,0.0004997501249,136.4423239,0,0,1080,46.20512821,78,229,1080
1,static_initial_50pct,초기 관측 2015–2016,0.7541760525,-0.2291882872,0.3322934471,1.858965455,2.754077456,0.08906942078,8.467283675,3.290639595,0.6160821298,0.3839178702,1,0.3523817242,0.0004997501249,2.218943367,0,0,169,27.16666667,18,3,169
2,static_initial_50pct,2017–2018 사이클,0.782128716,-0.82598579,0.8297190544,1.109498546,1.647770817,0.4459216442,1.753959975,0.9469033554,0.9216603341,0.07833966591,0,0,0,3.173471625,0,0,55,10.71428571,28,380,380
3,static_initial_50pct,2019 전환기,0.8776828646,-0.475803505,0.6814078954,1.260810496,2.003057857,0.2197456312,3.994085615,1.844633037,0.9573006656,0.04269933437,0,0,0,1.876873311,0,0,48,10.92857143,14,188,188
4,static_initial_50pct,2020–2022 사이클,0.3114740732,-0.7635041244,0.7131114008,0.7463996253,1.057148028,0.3866231691,0.8056270241,0.4079533603,0.9850457141,0.01495428586,0,0,0,2.256107193,0,0,189,18.05714286,35,418,418
5,static_initial_50pct,2023 이후,0.5656827749,-0.4902219331,0.4665241646,1.193010582,1.867896254,0.1739275613,3.252404452,1.153931998,0.9944593407,0.005540659316,0,0,0,4.575868983,0,0,238,18.0754717,53,229,238
6,static_initial_50pct,사후적 holdout 2019 이후,0.4932715502,-0.7635041244,0.6072855474,0.9675921576,1.431417847,0.365714438,1.348788834,0.6460627185,0.9856148032,0.01438519676,0,0,0,19.3761849,0,0,847,45.22641509,53,229,847
