,strategy,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,period
52,confirm2_buffer1,0.2680404617,-0.5690008284,0.5348961705,0.7253311716,1.004013954,0.3744994163,0.7157299852,0.4710721818,0.5413742325,0.4586257675,24,2.954761756,0.008866307692,2.039247439,2,0.08333333333,272,20.0952381,21,627,627,2020–2022 사이클
53,weekly,0.2119132261,-0.5899335969,0.5404263477,0.6397885722,0.880631993,0.3922510325,0.5402489948,0.3592153883,0.5397201409,0.4602798591,23,2.962709189,0.008890155431,1.780211936,2,0.08695652174,277,21.05,20,627,627,2020–2022 사이클
54,hybrid_score,0.2447925513,-0.5215476348,0.5195354263,0.6956642384,0.9597211662,0.349705309,0.6999966687,0.4693579933,0.5245533891,0.4754466109,66,5.525855497,0.01658134873,1.929105739,32,0.4848484848,282,22.52631579,19,627,627,2020–2022 사이클
55,hybrid_score_conservative,0.2648963082,-0.5215476348,0.514846786,0.7284403265,1.004649219,0.356644473,0.7427461471,0.5079043418,0.4927390825,0.5072609175,39,4.40484581,0.01321755238,2.024112411,15,0.3846153846,292,25.23529412,17,627,627,2020–2022 사이클
56,buy_hold,0.3205280005,-0.7666881596,0.7250185574,0.7565618662,1.071726616,0.3887026389,0.8246097876,0.4180682804,1,0,1,0.3329243749,0.000999000999,2.303167325,0,0,189,18.08571429,35,418,418,2020–2022 사이클
57,weekly_price,0.5160501846,-0.5225042168,0.4976611269,1.084390787,1.645992862,0.2636792223,1.957113572,0.987647885,0.5237226277,0.4762773723,10,3.330908371,0.009995004995,3.485494683,2,0.2,169,14,30,627,627,2020–2022 사이클
58,monthly_10m,0.6948463845,-0.530832087,0.5325467788,1.25622099,1.921241134,0.2363135589,2.940357667,1.308975854,0.5830291971,0.4169708029,4,1.332363348,0.003998001998,4.870211871,0,0,189,20.3,30,418,418,2020–2022 사이클
59,weekly_price_vol,0.3382941765,-0.3769433603,0.3183866392,1.074602296,1.608179828,0.1738962183,1.94537972,0.8974668667,0.3416071132,0.6583928868,87,3.038494731,0.00911756393,2.397404876,23,0.2643678161,169,14.48275862,29,627,627,2020–2022 사이클
60,original,0.4148025704,-0.2668295317,0.3537890583,1.156203752,1.869294812,0.1469584705,2.822583612,1.554560201,0.6100810691,0.3899189309,30,4.682936199,0.01588544271,3.24481541,7,0.2413793103,243,18.51351351,37,522,522,2023 이후
61,improved,0.3484754314,-0.2378876258,0.3496033161,1.028590618,1.635048514,0.1304895103,2.670524478,1.46487414,0.6175563672,0.3824436328,35,3.923856881,0.01331049603,2.757104207,5,0.1428571429,243,19.97058824,34,522,522,2023 이후
62,confirm2,0.3673719669,-0.2348813361,0.3508012639,1.065935487,1.700099793,0.1224287967,3.000698992,1.56407475,0.6157744169,0.3842255831,35,3.9510381,0.01340270008,2.890376238,5,0.1428571429,242,26.17142857,35,283,283,2023 이후
63,buffer1,0.3548128143,-0.2639012103,0.34984232,1.041499999,1.661182758,0.1246061201,2.84747502,1.344491046,0.6215071138,0.3784928862,37,3.64627559,0.01236888557,2.801306105,3,0.08108108108,243,24.75675676,37,283,283,2023 이후
64,confirm2_buffer1,0.3638535367,-0.2527740608,0.3530090883,1.05417051,1.678944998,0.1221824656,2.977952154,1.439441751,0.6292290489,0.3707709511,35,3.514860282,0.01192309895,2.865224926,2,0.05714285714,242,20.48484848,33,522,522,2023 이후
65,weekly,0.3449930331,-0.2573260655,0.3582514066,1.004870569,1.602372092,0.1256179377,2.746367593,1.340684366,0.618029428,0.381970572,31,3.818588533,0.01295340505,2.733025802,4,0.1290322581,242,20.51515152,33,522,522,2023 이후
66,hybrid_score,0.3447551428,-0.2684169675,0.3455711749,1.028663015,1.630783666,0.1351818098,2.5503072,1.284401452,0.6237160129,0.3762839871,88,6.523939167,0.02213048769,2.731386384,42,0.4772727273,243,25.52777778,36,283,283,2023 이후
67,hybrid_score_conservative,0.3156294511,-0.2733431119,0.3433527789,0.9692523227,1.537742143,0.1407030307,2.243231361,1.154700585,0.6029857552,0.3970142448,67,6.704114621,0.02274167835,2.535856132,34,0.5074626866,243,26.25714286,35,283,283,2023 이후
68,buy_hold,0.5713392645,-0.4913281286,0.4691481474,1.196607048,1.874706383,0.1744484685,3.275117686,1.162846642,1,0,1,0.2944996892,0.000999000999,4.632190413,0,0,238,18.0754717,53,229,238,2023 이후
69,weekly_price,0.2025034555,-0.4109948773,0.3749657588,0.677830688,1.0467435,0.1866927827,1.084688184,0.4927152788,0.6650524617,0.3349475383,21,6.18743847,0.02098901099,1.869255335,8,0.380952381,277,32.89285714,28,283,283,2023 이후
70,monthly_10m,0.463380326,-0.320846204,0.4269208333,1.103666164,1.743543654,0.1538704761,3.011496017,1.444244377,0.8345439871,0.1654560129,2,0.589293878,0.001999000999,3.638515749,0,0,238,20.8,45,229,238,2023 이후
71,weekly_price_vol,0.1646471305,-0.3642602065,0.3248986098,0.63042752,0.9705539768,0.1728793768,0.9523815593,0.452004165,0.5796056598,0.4203943402,100,6.770071533,0.02296541719,1.677043474,44,0.44,268,27.84848485,33,283,283,2023 이후
72,original,0.3361803222,-0.7425408428,0.504621051,0.8326205953,1.204829927,0.3831405699,0.8774333722,0.4527432066,0.6701473724,0.3298526276,47,3.422047791,0.02529645184,8.519604238,8,0.1739130435,1333,73.55172414,29,522,1333,사후적 holdout 2019 이후
73,improved,0.3880532344,-0.620347765,0.4665022585,0.9417623545,1.383273101,0.3456234258,1.122763116,0.6255414403,0.5744463024,0.4255536976,65,3.268371695,0.02416044784,11.29000486,7,0.1076923077,1063,57.16666667,36,522,1063,사후적 holdout 2019 이후
